,1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0,0.0,0.0,0.0321226,0.0463468,0.0858219,0.137971,0.227733,0.343006,0.55144,s2,nothing,USA,H2 central production,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
1,0.0,0.0,0.0446617,0.0690051,0.11821,0.179479,0.279905,0.411143,0.661293,s2,nothing,USA,H2 forecourt production,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
2,0.0,0.0,0.458776,0.811969,1.6249,2.76376,4.18926,5.74289,7.03094,s2,nothing,USA,backup_electricity,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
3,0.0,0.0,0.0219152,0.019957,0.0264219,0.0311818,0.0348687,0.0453775,0.0534015,s2,nothing,USA,biogas pipeline,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
4,0.0,0.0,-0.900884,-0.820387,-1.08614,-1.28181,-1.43337,-1.86536,-2.19521,s2,nothing,USA,biogas processing,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
5,0.0,0.0,0.00987447,0.0151569,0.030605,0.053302,0.0876672,0.149229,0.191094,s2,nothing,USA,csp_backup,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
6,9.16221,8.10091,9.73866,10.1316,10.5824,11.1007,11.6941,12.518,13.5496,s2,nothing,USA,gas pipeline,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
7,0.844259,-1.0095200000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,s2,nothing,USA,gas processing,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
8,0.0,0.0,0.0,0.0,0.0,-0.0946752999999999,-0.1688875,-0.2574022,-0.3754691,s2,nothing,Africa_Eastern,CDR_regional,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
9,0.0,0.0,0.03402962,0.0926566,0.2118914,0.29349758,0.2527159,0.26316896,0.3109868,s2,nothing,Africa_Eastern,H2 central production,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
