1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0.0,0.0,0.0,1.98532E-9,2.08417,3.73186,6.33976,10.5732,18.1206,testsubsidy,default,Africa_Eastern,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.332345,0.198931,0.39966,0.837332,1.85612,4.26603,testsubsidy,default,Africa_Eastern,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,1.42951,0.944636,1.93772,4.14609,7.6936,11.883,testsubsidy,default,Africa_Eastern,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.0948237,0.0727605,0.126779,0.213378,0.338926,0.487298,testsubsidy,default,Africa_Eastern,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,1.38776E-5,2.37463E-5,4.40294E-5,8.22223E-5,1.47641E-4,2.5846E-4,testsubsidy,default,Africa_Eastern,CDR_regional,unsatisfiedDemand,unsatisfied CDR demand,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,2.05019E-9,3.1404,5.54561,7.84245,10.6218,14.5674,testsubsidy,default,Africa_Northern,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.120217,0.798506,1.47071,2.36534,3.79749,6.34524,testsubsidy,default,Africa_Northern,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.137398,1.36806,3.10617,5.78032,8.43804,11.0126,testsubsidy,default,Africa_Northern,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.0301158,0.15515,0.23358,0.307644,0.387994,0.460978,testsubsidy,default,Africa_Northern,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,2.2657E-6,3.9504E-5,7.38582E-5,1.16669E-4,1.68788E-4,2.42945E-4,testsubsidy,default,Africa_Northern,CDR_regional,unsatisfiedDemand,unsatisfied CDR demand,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,2.03795E-7,0.741045,1.21495,1.89989,3.02373,5.32617,testsubsidy,default,Africa_Southern,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.0171369,0.182621,0.306577,0.53937,1.02252,2.29578,testsubsidy,default,Africa_Southern,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.0179966,0.284223,0.592794,1.20065,2.06034,3.61892,testsubsidy,default,Africa_Southern,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.00446988,0.0519092,0.0882867,0.137602,0.20306,0.281901,testsubsidy,default,Africa_Southern,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,3.17889E-7,9.15971E-6,1.5805E-5,2.7201E-5,4.60494E-5,8.67071E-5,testsubsidy,default,Africa_Southern,CDR_regional,unsatisfiedDemand,unsatisfied CDR demand,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,2.98583E-9,2.6605,4.92926,8.23391,13.5475,24.1874,testsubsidy,default,Africa_Western,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.122792,0.702296,1.33683,2.50407,4.87467,11.0319,testsubsidy,default,Africa_Western,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.138309,1.18082,2.77508,5.95729,10.4015,18.1209,testsubsidy,default,Africa_Western,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.0348074,0.245384,0.472334,0.785668,1.2046,1.69955,testsubsidy,default,Africa_Western,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,2.33342E-6,3.47864E-5,6.816E-5,1.2566E-4,2.18779E-4,4.1348E-4,testsubsidy,default,Africa_Western,CDR_regional,unsatisfiedDemand,unsatisfied CDR demand,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,2.31021E-9,2.45297,3.82369,5.2115,7.26326,10.713,testsubsidy,default,Australia_NZ,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.370266,0.784036,1.26404,1.96568,3.30454,6.08154,testsubsidy,default,Australia_NZ,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.436018,1.35618,2.67218,4.74623,7.19423,10.5677,testsubsidy,default,Australia_NZ,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.0849175,0.184953,0.270738,0.36287,0.480957,0.599658,testsubsidy,default,Australia_NZ,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
