,1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0,0.0,0.0,0.0771576,,0.209202,0.392164,0.669977,1.09004,1.71261,testsubsidy,default,USA,H2 central production,gas,natural gas steam reforming,missing,missing,missing,missing,missing,missing,missing,MTC
1,0.0,0.0,0.0709371,,0.200335,0.375885,0.642566,1.0619,1.72166,testsubsidy,default,USA,H2 forecourt production,gas,natural gas steam reforming,missing,missing,missing,missing,missing,missing,missing,MTC
2,0.0,0.0,0.533735,,4.46276,9.20287,14.6786,18.7604,21.1031,testsubsidy,default,USA,backup_electricity,gas,gas (steam/CT),missing,missing,missing,missing,missing,missing,missing,MTC
3,0.0,0.0,0.0168463,,0.0365388,0.0451225,0.0471814,0.0453296,0.0541691,testsubsidy,default,USA,biogas pipeline,biogas pipeline,biogas pipeline,missing,missing,missing,missing,missing,missing,missing,MTC
4,0.0,0.0,-0.692513,,-1.50203,-1.85488,-1.93951,-1.86339,-2.22676,testsubsidy,default,USA,biogas processing,biogas,biogas,missing,missing,missing,missing,missing,missing,missing,MTC
5,0.0,0.0,0.0122738,,0.0821932,0.202381,0.40022,0.643266,0.773103,testsubsidy,default,USA,csp_backup,gas,CSP gas hybrid mode,missing,missing,missing,missing,missing,missing,missing,MTC
6,9.16221,8.10091,9.25254,,9.62743,9.7635,9.83506,10.6201,12.9733,testsubsidy,default,USA,gas pipeline,gas pipeline,gas pipeline,missing,missing,missing,missing,missing,missing,missing,MTC
7,-0.435701,-2.26921,0.0,,0.0,0.0,0.0,0.0,0.0,testsubsidy,default,USA,gas processing,biomass gasification,biomass gasification,missing,missing,missing,missing,missing,missing,missing,MTC
8,1.27996,1.25969,0.0,,0.0,0.0,0.0,0.0,0.0,testsubsidy,default,USA,gas processing,coal gasification,coal gasification,missing,missing,missing,missing,missing,missing,missing,MTC
9,0.0,0.0,0.0,,-0.163499,-0.358263,-0.78575,-1.81636,-4.25165,testsubsidy,default,Africa_Eastern,CDR_regional,CDR,DAC,missing,missing,missing,missing,missing,missing,missing,MTC
