,1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0,0.0,0.0,0.01,,,,,0.01,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,BECCS,missing,missing,missing,1975$/GJ
1,0.0,0.0,0.402389,,,,,-99.4999,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,CDR,missing,missing,missing,1975$/kg
2,11.1111,11.1111,0.504816,,,,,-59.5611,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,CDR_regional,missing,missing,missing,1975$/kg
3,0.397467,0.399169,0.503827,,,,,0.379361,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,DAC,missing,missing,missing,1975$/kg
4,0.0,0.0,0.195125,,,,,0.297063,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,OEW,missing,missing,missing,1975$/kg
5,1.75162e-51,-1.125,-2.2572400000000003e-28,,,,,2.81643e-06,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,PV_resource,missing,missing,missing,1975$/GJ
6,8.71699,8.46752,4.92992,,,,,4.68768,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,base load generation,missing,missing,missing,1975$/GJ
7,0.0033073,0.0053824,0.00785304,,,,,0.0128655,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,base load generation-fixed-output,missing,missing,missing,EJ
8,0.0,0.0,0.0,,,,,0.0,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,biomass liquids,missing,missing,missing,1975$/GJ
9,0.0,0.0,0.0,,,,,0.0,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,biomass liquids-fixed-output,missing,missing,missing,EJ
10,0.0,0.0,9.8847,,,,,6.2435,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,biorefining,missing,missing,missing,1975$/GJ
11,0.0,0.0,0.0,,,,,0.00514143,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,biorefining-fixed-output,missing,missing,missing,EJ
12,212.0,212.0,212.0,,,,,212.0,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,carbon-storage,missing,missing,missing,1990$/tC
13,0.0,0.0,13.6159,,,,,26.6052,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,coal to liquids,missing,missing,missing,1975$/GJ
14,0.0,0.0,0.0,,,,,2.68003e-11,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,coal to liquids-fixed-output,missing,missing,missing,EJ
15,11.2971,12.0119,13.9387,,,,,24.1691,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,comm cooking,missing,missing,missing,1975$/GJ
16,6.9515,6.97418,6.34176,,,,,6.51457,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,comm cooling,missing,missing,missing,1975$/GJ
17,5.63737,6.49692,9.03269,,,,,13.2245,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,comm heating,missing,missing,missing,1975$/GJ
18,8.28091,7.27526,9.1973,,,,,17.019,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,comm hot water,missing,missing,missing,1975$/GJ
19,1.64074,1.59649,1.07171,,,,,0.944566,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,comm lighting,missing,missing,missing,1975$/megalumen-hours
20,15.1117,14.5061,12.6124,,,,,13.891,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,comm non-building,missing,missing,missing,1975$/GJ
21,59.2987,58.6931,51.5792,,,,,51.0904,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,comm office,missing,missing,missing,1975$/GJ
22,34.5678,41.3008,32.7041,,,,,45.2271,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,comm other,missing,missing,missing,1975$/GJ
23,50.2489,49.9548,49.9124,,,,,50.2846,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,comm refrigeration,missing,missing,missing,1975$/GJ
24,77.0488,76.2702,72.6972,,,,,72.0306,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,comm ventilation,missing,missing,missing,1975$/million m3
25,0.00436357,0.00521097,0.00408571,,,,,0.00370758,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,comm-internal-gains-trial-market-trial-supply,missing,missing,missing,EJ
26,2.05137,2.09109,1.13995,,,,,-3.36857,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,delivered biomass,missing,missing,missing,1975$/GJ
27,1.0,1.0,27.1185,,,,,21.7544,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,distributed_solar,missing,missing,missing,1975$/GJ
28,15.1117,14.5061,12.6124,,,,,13.891,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,missing,1975$/GJ
29,0.0,0.0,0.0,,,,,0.0,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,elect_td_bld-fixed-output,missing,missing,missing,EJ
30,12.9167,12.3961,10.6196,,,,,12.0245,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,missing,1975$/GJ
31,15.1117,14.5061,12.6096,,,,,13.8145,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,missing,1975$/GJ
32,0.0,0.0,6.86761,,,,,6.15509,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,gas to liquids,missing,missing,missing,1975$/GJ
33,0.0,0.0,0.0,,,,,3.96305e-06,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,gas to liquids-fixed-output,missing,missing,missing,EJ
34,0.273833,-0.543104,0.001,,,,,0.312857,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,geothermal,missing,missing,missing,1975$/GJ
35,5.34875,5.83748,7.75411,,,,,12.0879,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,industrial energy use,missing,missing,missing,1975$/GJ
36,2.80216,3.00029,6.41275,,,,,6.50404,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,industrial feedstocks,missing,missing,missing,1975$/GJ
37,30.2975,30.807,32.5182,,,,,36.106,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,industry,missing,missing,missing,1975$/GJ
38,1.0,1.0,1.0,,,,,1.0,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,industry-tfe,missing,missing,missing,EJ
39,11.9192,12.3898,15.226,,,,,14.2105,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,intermediate generation,missing,missing,missing,1975$/GJ
40,0.0,0.0,0.00729701,,,,,0.00634487,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,intermediate generation-fixed-output,missing,missing,missing,EJ
41,0.0,0.0,0.0,,,,,0.0586304,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,lime,missing,missing,missing,1975$/kg
42,0.195886,0.195889,0.195812,,,,,0.195812,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,municipal water,missing,missing,missing,1975$/m^3
43,1.0,1.0,1.0,,,,,1.0,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,municipal water-tfe,missing,missing,missing,EJ
44,0.0390184,-1.04209,-1.35699,,,,,0.0905585,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,offshore wind resource,missing,missing,missing,1975$/GJ
45,2.47738,2.64236,6.09434,,,,,45.055,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,oil refining,missing,missing,missing,1975$/GJ
46,0.0,0.0,0.272086,,,,,2.24231e-09,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,oil refining-fixed-output,missing,missing,missing,EJ
47,0.0390184,0.0636993,0.329062,,,,,0.140412,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,onshore wind resource,missing,missing,missing,1975$/GJ
48,48.3923,49.8953,20.9698,,,,,12.3747,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,peak generation,missing,missing,missing,1975$/GJ
49,0.0,0.0,0.000110914,,,,,0.000117139,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,peak generation-fixed-output,missing,missing,missing,EJ
50,1.91137,1.95109,0.999953,,,,,-3.50857,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,regional biomass,missing,missing,missing,1975$/GJ
51,0.0,10.27,10.1663,,,,,15.3277,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,regional biomassOil,missing,missing,missing,1975$/GJ
52,3.24646,3.24646,2.52032,,,,,-1.11494,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,regional corn for ethanol,missing,missing,missing,1975$/GJ
53,7.24102,6.94545,6.4426,,,,,9.14543,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,regional sugar for ethanol,missing,missing,missing,1975$/GJ
54,0.0556895,0.0548954,0.0605322,,,,,0.0656082,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,resid clothes dryers,missing,missing,missing,1975$/kg
55,0.0,0.125489,0.134842,,,,,0.135336,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,resid clothes washers,missing,missing,missing,1975$/cycle
56,0.0,34.5061,28.4083,,,,,23.6555,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,resid computers,missing,missing,missing,1975$/GJ
57,28.5418,27.7548,31.4641,,,,,38.0743,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,resid cooking,missing,missing,missing,1975$/GJ
58,10.4931,10.294,8.91884,,,,,9.2701,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,resid cooling,missing,missing,missing,1975$/GJ
59,0.0,0.259603,0.246051,,,,,0.25099,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,resid dishwashers,missing,missing,missing,1975$/cycle
60,31.0772,30.4698,27.2896,,,,,28.1895,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,resid freezers,missing,missing,missing,1975$/GJ
61,0.0,34.5061,29.483,,,,,26.9455,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,resid furnace fans,missing,missing,missing,1975$/GJ
62,8.39821,8.30167,7.53965,,,,,7.73519,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,resid heating,missing,missing,missing,1975$/GJ
63,19.2765,18.9082,19.74,,,,,23.3019,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,resid hot water,missing,missing,missing,1975$/GJ
64,2.92965,2.81956,0.732158,,,,,0.513983,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,resid lighting,missing,missing,missing,1975$/megalumen-hours
65,32.9298,33.1781,31.2188,,,,,34.255,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,resid other,missing,missing,missing,1975$/GJ
66,16.9388,16.6232,15.4749,,,,,15.9681,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,resid refrigerators,missing,missing,missing,1975$/GJ
67,35.1117,34.5061,30.0899,,,,,30.2896,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,resid televisions,missing,missing,missing,1975$/GJ
68,0.00218662,0.00440212,0.00326913,,,,,0.00336293,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,resid-internal-gains-trial-market-trial-supply,missing,missing,missing,EJ
69,24.7909,25.3738,22.0639,,,,,12.765,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,subpeak generation,missing,missing,missing,1975$/GJ
70,0.0,0.0,0.000799404,,,,,0.000806098,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,subpeak generation-fixed-output,missing,missing,missing,EJ
71,0.135761,0.134178,0.141022,,,,,0.196951,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,trn_aviation_intl,missing,missing,missing,1990$/pass-km
72,1.0,1.0,1.0,,,,,1.0,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,trn_aviation_intl-tfe,missing,missing,missing,EJ
73,0.0643878,0.0659824,0.0831818,,,,,0.126783,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,trn_freight,missing,missing,missing,1990$/ton-km
74,1.0,1.0,1.0,,,,,1.0,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,trn_freight-tfe,missing,missing,missing,EJ
75,0.128124,0.129834,0.164738,,,,,0.182463,,testsubsidy,default,AK,missing,missing,missing,missing,missing,missing,trn_freight_road,missing,missing,missing,1990$/ton-km
