# File: A21.globaltech_cost.csv
# Title: Primary energy handling default costs
# Units: 1975$/GJ
# Column types: ccccnn 
# ----------
supplysector,subsector,technology,minicam.non.energy.input,1971,2100
regional biomass,regional biomass,regional biomass,non-energy,0.737,0.737
regional corn for ethanol,regional corn for ethanol,regional corn for ethanol,non-energy,0,0
regional sugar for ethanol,regional sugar for ethanol,regional sugar for ethanol,non-energy,0,0
regional biomassOil,regional biomassOil,biomassOil,non-energy,0,0
regional biomassOil,regional biomassOil,OilCrop,non-energy,0,0
regional biomassOil,regional biomassOil,OilPalm,non-energy,0,0
regional biomassOil,regional biomassOil,Soybean,non-energy,0,0
manure_fuel,manure_fuel,slow pyrolysis_poultry,non-energy,0.0557,0.0557
manure_fuel,manure_fuel,slow pyrolysis_pork,non-energy,0.0414,0.0414
manure_fuel,manure_fuel,slow pyrolysis_beef,non-energy,0.0455,0.0455
manure_fuel,manure_fuel,slow pyrolysis_dairy,non-energy,0.0414,0.0414
manure_fuel,manure_fuel,slow pyrolysis_goat,non-energy,0.0414,0.0414
